No.,Province,,,<5000,<10000,<25000,<50000,<75000,<100000,6W,<5000,<10000,<25000,<50000,<75000,<100000,<150000,<200000,<250000,<300000
77,ตาก,Tak,"5,500","5,500","5,500","5,000","4,180","3,080","2,090","9,500","9,500","9,500","9,500","8,265","7,220","6,080","4,560",0,0,0
78,ตรัง,Trang,"10,000","10,000","10,000","9,500","9,000","6,700","5,700","19,000","19,000","19,000","19,000","19,000","19,000","18,050","14,440","14,440","11,400","7,600"
79,คลองใหญ่,Trat,"1,500","1,500",500,0,0,0,0,"3,000","2,000","1,500","1,000",0,0,0,0,0,0,0
80,ตราด,Trat,"1,500","1,500",500,0,0,0,0,"3,000","2,000","1,500","1,000",0,0,0,0,0,0,0
81,อุบลช่องเม็ก,Ubon Ratchathani,"7,500","7,500","7,500","7,000","6,075","4,650","3,525","15,000","15,000","15,000","15,000","14,700","14,700","12,900","9,750","9,000","7,200",0
82,อุบลราชธานี,Ubon Ratchathani,"7,000","7,000","7,000","6,500","5,600","4,270","3,150","14,000","14,000","14,000","14,000","13,440","13,160","11,480","8,820","7,560","6,160",0
83,อุดรธานี,Udon Thani,"6,500","6,500","6,500","6,000","5,135","3,900","2,795","13,000","13,000","13,000","13,000","12,220","11,700","10,140","7,930","6,240","5,200",0
84,อุทัยธานี,Uthai Thani,"2,600","2,600","2,000","1,500","1,000",0,0,"6,500","6,500","6,500","5,500","4,865","4,160","2,860",0,0,0,0
85,อุตรดิตถ์,Uttaradit,"5,000","5,000","5,000","4,500","3,700","2,700",0,"11,000","11,000","11,000","11,000","9,900","9,020","7,700","5,940","3,960",0,0
86,ยะลา,Yala,"12,000","12,000","12,000","11,500","10,800","8,400","7,200","23,000","23,000","23,000","23,000","23,000","23,000","21,850","20,700","18,400","13,800","9,200"
87,ยโสธร,Yasothon,"6,000","6,000","6,000","5,500","4,680","3,480","2,460","12,500","12,500","12,500","12,500","11,625","11,000","9,500","7,500","5,625",0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"So, in this case need to write to user: ""Order of such volume we will need to deliver by 6-wheels truck only due to weight limitations.",,,,,,,,,,,
,,,,,,,,,"Kindly contact our sales representative, to find and calculate cheapest delivery option for your case""",,,,,,,,,,,
